	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:31')"
Kowsardb#1401-9-26#18:38:33 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:33')"
Kowsardb#1401-9-26#18:38:38 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:37')"
Kowsardb#1401-9-26#18:38:38 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:37')"
Kowsardb#1401-9-26#18:38:38 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:37')"
Kowsardb#1401-9-26#18:38:38 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:37')"
Kowsardb#1401-9-26#18:38:39 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:38')"
Kowsardb#1401-9-26#18:38:39 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:38')"
	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:38')"
Kowsardb#1401-9-26#18:38:39 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:38')"
